chr	start	stop
EPHX1	1	225810124	225845563
PARP1	1	226360210	226408154
PSEN2	1	226870184	226927726
COQ8A	1	226940286	226987544
SNAP47	1	227728200	227781826
JMJD4	1	227730425	227735411
ARF1	1	228082708	228099212
RNF187	1	228487382	228499899
GNPAT	1	231241207	231277973
EGLN1	1	231363751	231422287
NTPCR	1	232950605	232983882
KCNK1	1	233614106	233672514
RBM34	1	235131183	235161283
LGALS8	1	236518000	236552981
MTR	1	236795260	236921278
CHRM3	1	239386565	239915452
GREM2	1	240489573	240612155
FH	1	241497511	241519799
CEP170	1	243124428	243255793
AKT3	1	243488233	243851079
SMYD3	1	245749342	246507312
CNST	1	246566444	246668595
SH3BP5L	1	248810446	248825915
EIPR1	2	3188925	3377830
ADAM17	2	9488486	9556732
YWHAQ	2	9583967	9630997
HPCAL1	2	10302889	10427617
ROCK2	2	11179759	11348330
LPIN1	2	11677595	11827409
TRIB2	2	12716910	12742734
DDX1	2	15591178	15634346
NCOA1	2	24491254	24770702
DNMT3A	2	25227855	25342590
HADHA	2	26190635	26244672
HADHB	2	26243170	26290465
KCNK3	2	26692722	26733420
CAD	2	27217369	27243943
SNX17	2	27370496	27377535
ZNF512	2	27582969	27623217
GPN1	2	27628247	27651511
SLC4A1AP	2	27663426	27695366
LBH	2	30231534	30323730
LTBP1	2	32946953	33399509
FAM98A	2	33532744	33599347
HEATR5B	2	36968383	37084372
GPATCH11	2	37084518	37099244
EIF2AK2	2	37099210	37157522
PRKD3	2	37250502	37324833
ATL2	2	38293954	38377285
HNRNPLL	2	38561969	38603586
DHX57	2	38797729	38875934
SOS1	2	38962206	39124345
MAP4K3	2	39249266	39437301
LRPPRC	2	43886224	43996226
PREPL	2	44316281	44361862
EPAS1	2	46293667	46386697
PIGF	2	46580937	46617055
CRIPT	2	46616416	46685037
EPCAM	2	47345158	47387601
MSH2	2	47403067	47663146
MSH6	2	47695530	47810063
ACYP2	2	53970838	54305300
SPTBN1	2	54456327	54671446
RTN4	2	54972187	55112621
PNPT1	2	55634061	55693863
BCL11A	2	60450520	60554467
REL	2	60881491	60931612
XPO1	2	61476032	61538741
EHBP1	2	62673851	63046487
LGALSL	2	64453969	64461381
APLF	2	68467572	68655862
GFPT1	2	69319780	69387250
CCT7	2	73233420	73253021
DCTN1	2	74361154	74392087
HTRA2	2	74529596	74533350
ATOH8	2	85751344	85791383
PTCD3	2	86106223	86142157
IMMT	2	86143932	86195472
KDM3A	2	86440647	86492716
RMND5A	2	86720291	86778041
RGPD1	2	86913783	87013976
CYTOR	2	87454781	87636740
EIF2AK3	2	88556741	88691518
PROM2	2	95274449	95291308
SNRNP200	2	96274338	96321271
CNNM3	2	96816245	96835382
SEMA4C	2	96859718	96870757
MITD1	2	99161427	99181058
TXNDC9	2	99318982	99340702
MAP4K4	2	101696850	101894690
IL1R1	2	102064544	102179874
IL1RL2	2	102187006	102240002
IL1RL1	2	102311502	102352037
IL18R1	2	102311529	102398777
POU3F3	2	104853287	104858574
RANBP2	2	108719482	108785810
MALL	2	110083870	110116022
RGPD6	2	110513802	110610840
BCL2L11	2	111119378	111168444
ANAPC1	2	111611639	111884690
MERTK	2	111898607	112029561
RGPD8	2	112368369	112434488
PAX8	2	113215997	113278921
CBWD2	2	113437691	113496204
INHBB	2	120346136	120351803
NIFK	2	121726945	121736911
ERCC3	2	127257290	127294166
RAB6C	2	129979666	129982738
POTEF	2	130073535	130129222
POTEI	2	130459455	130509707
PLEKHB2	2	131104847	131353709
R3HDM1	2	135531455	135725270
MCM6	2	135839626	135876443
HNMT	2	137964020	138016364
ACVR2A	2	147844517	147930826
MMADHC	2	149569637	149587778
BAZ2B	2	159315312	159616569
CD302	2	159768628	159798255
ITGB6	2	160099667	160271888
RBMS1	2	160272151	160493807
DPP4	2	161992245	162074394
IFIH1	2	162267074	162318684
COBLL1	2	164653624	164843679
STK39	2	167954020	168247595
NOSTRIN	2	168786539	168865514
SSB	2	169791933	169812064
UBR3	2	169827454	170084131
TLK1	2	170990823	171231314
ITGA6	2	172234216	172506459
PDK1	2	172555373	172608669
MAP3K20	2	173075435	173268015
SP3	2	173880850	173965373
ATF2	2	175072250	175168382
HOXD9	2	176122719	176124937
NFE2L2	2	177218667	177392756
PRKRA	2	178431292	178451512
ITPRID2	2	181891730	181930738
DNAJC10	2	182716255	182794464
ITGAV	2	186590010	186680901
SLC40A1	2	189560590	189583758
PMS1	2	189784085	189877629
GLS	2	190880821	190965552
STAT1	2	190908460	191020960
MYO1B	2	191245185	191425389
TMEFF2	2	191949043	192194933
ANKRD44	2	196967017	197311173
SF3B1	2	197388515	197435079
HSPD1	2	197486584	197516737
MOB4	2	197515571	197553699
SPATS2L	2	200305881	200482264
AOX1	2	200586014	200677064
FAM126B	2	200973718	201071671
CFLAR	2	201116154	201176687
CASP8	2	201233443	201361836
TMEM237	2	201620184	201643570
SUMO1	2	202206182	202238599
BMPR2	2	202376327	202567751
FAM117B	2	202634969	202769757
WDR12	2	202874261	203014798
CARF	2	202912214	202988263
CYP20A1	2	203238977	203306026
INO80D	2	205993721	206086303
CREB1	2	207529737	207605988
IDH1	2	208236229	208266074
PIKFYVE	2	208266255	208358746
LANCL1	2	210427131	210477652
IKZF2	2	212999691	213152427
ATIC	2	215311956	215349773
XRCC5	2	216107464	216206303
SMARCAL1	2	216412383	216483053
IGFBP2	2	216632828	216664436
AAMP	2	218264129	218270178
ZNF142	2	218633329	218659655
CYP27A1	2	218781749	218815293
ABCB6	2	219209772	219218994
ANKZF1	2	219229783	219236679
STK16	2	219245455	219250337
TUBA4A	2	219249710	219277902
DNAJB2	2	219279342	219286898
DNPEP	2	219372029	219400022
SCG2	2	223596940	223602361
AP1S3	2	223667680	223838027
CUL3	2	224470150	224585397
IRS1	2	226731312	226799820
RHBDD1	2	226835581	226999215
COL4A4	2	227002714	227164453
MFF	2	227325151	227357833
SP110	2	230165186	230225729
PSMD1	2	231056845	231173116
DIS3L2	2	231961245	232344350
ATG16L1	2	233210051	233295674
TRPM8	2	233917373	234019522
AGAP1	2	235494043	236131793
ACKR3	2	236567787	236582354
MLPH	2	237485428	237555322
PER2	2	238244044	238290102
HDAC4	2	239048168	239401654
DUSP28	2	240560054	240565256
KIF1A	2	240713761	240824293
PPP1R7	2	241149576	241183652
IL5RA	3	3066324	3126613
ITPR1	3	4493345	4847506
ARL8B	3	5122249	5180911
THUMPD3	3	9362971	9386791
CAMK1	3	9757347	9769992
VHL	3	10141778	10153676
SEC13	3	10293131	10321112
MKRN2	3	12557057	12586208
RAF1	3	12582101	12664201
IQSEC1	3	12897043	13283281
TMEM43	3	14125015	14143680
XPC	3	14145145	14178621
NR2C2	3	14947583	15053600
SH3BP5	3	15254353	15341368
SATB1	3	18345377	18445621
RAB5A	3	19947097	19985175
KAT2B	3	20040446	20154404
THRB	3	24117153	24495756
TOP2B	3	25597978	25664909
OXSM	3	25782917	25794534
RBMS3	3	28574791	30010391
TGFBR2	3	30606478	30694249
CMTM8	3	32238679	32370321
GLB1	3	32996609	33097202
PDCD6IP	3	33798571	33869707
EPM2AIP1	3	36985043	36993131
MLH1	3	36993226	37050896
CTDSPL	3	37861880	37984469
MYD88	3	38138552	38143024
OXSR1	3	38165089	38255484
EIF1B	3	40309707	40312424
CTNNB1	3	41194741	41260096
VIPR1	3	42489299	42537573
CDCP1	3	45082277	45146422
SMARCC1	3	47585269	47782106
DHX30	3	47802909	47850195
MAP4	3	47850690	48089272
TREX1	3	48465811	48467645
COL7A1	3	48564073	48595329
P4HTM	3	48989889	49007153
IMPDH2	3	49024325	49029447
RHOA	3	49359139	49412998
DAG1	3	49468713	49535618
MST1	3	49683947	49689501
SEMA3F	3	50155045	50189075
GNAI2	3	50226292	50259362
TUSC2	3	50320027	50328251
RASSF1	3	50329782	50340980
DCAF1	3	51395867	51500015
RAD54L2	3	51538719	51668667
PARP3	3	51942345	51948867
BAP1	3	52401008	52410008
NT5DC2	3	52524385	52535054
NEK4	3	52708444	52770946
PRKCD	3	53156009	53192717
TKT	3	53224712	53256052
CACNA1D	3	53328963	53813733
WNT5A	3	55465715	55490539
TASOR	3	56620132	56683265
SLMAP	3	57755450	57930003
FLNB	3	58008398	58172251
ABHD6	3	58237532	58295693
PDHB	3	58427630	58433857
FAM107A	3	58564117	58627610
PTPRG	3	61561569	62297609
MAGI1	3	65353525	66038918
FOXP1	3	70954693	71583978
GBE1	3	81489703	81761645
PROS1	3	93873051	93980003
CRYBG3	3	97822011	97944984
CMSS1	3	99817837	100181732
ALCAM	3	105366909	105576900
CBLB	3	105655461	105869552
CD47	3	108043091	108091862
IFT57	3	108160812	108222435
NECTIN3	3	111070071	111275563
PHLDB2	3	111732497	111976517
CD200	3	112332235	112363181
NEPRO	3	113002444	113019861
SPICE1	3	113442718	113515187
TMEM39A	3	119428949	119468830
GSK3B	3	119821321	120094994
FSTL1	3	120392293	120451016
RABL3	3	120684938	120742993
KPNA1	3	122421902	122514945
MYLK	3	123610049	123884332
CCDC14	3	123897305	123961408
UMPS	3	124730433	124749273
ITGB5	3	124761948	124901418
SNX4	3	125446650	125520202
RUVBL1	3	128064778	128153914
GATA2	3	128479427	128493201
RPN1	3	128619969	128681075
RAB7A	3	128693669	128825942
NEK11	3	131026850	131350465
ACPP	3	132317369	132368302
CDV3	3	133573686	133590261
TOPBP1	3	133598175	133662380
PPP2R3A	3	135965728	136147894
PCCB	3	136250340	136337896
NCK1	3	136862208	136951606
SOX14	3	137764315	137766334
DBR1	3	138160988	138174949
FAIM	3	138608606	138633376
PIK3CB	3	138652336	138834928
ATR	3	142449007	142578733
PLSCR1	3	146515180	146544856
WWTR1	3	149517235	149736714
SELENOT	3	150602875	150630436
MBNL1	3	152243828	152465780
GPR149	3	154334943	154430190
MME	3	155024124	155183704
GMPS	3	155870650	155944020
TIPARP	3	156673235	156706770
RSRC1	3	158105855	158545730
MLF1	3	158571163	158607252
SMC4	3	160399274	160434954
PDCD10	3	167683298	167734939
MECOM	3	169083499	169663775
MYNN	3	169773396	169789716
PRKCI	3	170222424	170305977
FNDC3B	3	172039578	172401669
TNFSF10	3	172505508	172523475
PIK3CA	3	179148114	179240093
ZNF639	3	179323031	179338583
ACTL6A	3	179562886	179588407
SOX2-OT	3	180989510	181836880
MCCC1	3	183015218	183116075
KLHL24	3	183635610	183684519
DVL3	3	184155377	184173614
AP2M1	3	184174689	184184214
ABCF3	3	184186095	184194012
PSMD2	3	184299198	184309050
EIF4G1	3	184314495	184335358
POLR2H	3	184361710	184368596
IGF2BP2	3	185643130	185825042
RFC4	3	186789880	186807058
ST6GAL1	3	186930325	187078553
BCL6	3	187721377	187745725
TP63	3	189631389	189897276
CLDN1	3	190305707	190322446
CCDC50	3	191329085	191398659
HES1	3	194136148	194138732
LSG1	3	194640791	194672463
ACAP2	3	195274745	195443044
TNK2	3	195863364	195911945
TFRC	3	196012511	196082153
FBXO45	3	196568611	196589059
NRROS	3	196639694	196662004
PAK2	3	196739857	196832647
DLG1	3	197042560	197299330
RUBCN	3	197668867	197749727
IDUA	4	986997	1004564
SPON2	4	1166932	1208962
CTBP1	4	1211445	1250333
MAEA	4	1289887	1340147
FGFR3	4	1793293	1808872
NSD2	4	1871393	1982207
FAM193A	4	2536647	2732573
ADD1	4	2843844	2930076
HTT	4	3041363	3243957
ADRA2C	4	3766348	3768526
WFS1	4	6269849	6303265
MRFAP1L1	4	6707701	6709865
CPZ	4	8592660	8619759
SLC2A9	4	9771153	10054936
RAB28	4	13361354	13484365
CPEB2	4	15002481	15070153
CD38	4	15778275	15853232
SLIT2	4	20251905	20620561
ADGRA3	4	22345071	22516066
PPARGC1A	4	23755041	23904089
SOD3	4	24789912	24800842
RBPJ	4	26163455	26435131
STIM2	4	26857601	27025381
UGDH	4	39498755	39528311
N4BP2	4	40056797	40158252
TMEM33	4	41935129	41960803
ATP10D	4	47485275	47593486
TEC	4	48135783	48269838
SPATA18	4	52051304	52097299
FIP1L1	4	53377569	53464382
KIT	4	54657267	54740783
CLOCK	4	55427903	55546909
HOPX	4	56647989	56681877
REST	4	56907876	56966808
NOA1	4	56963350	56977606
POLR2B	4	56977722	57031158
UGT2B7	4	69051363	69112987
NPFFR2	4	72031902	72148305
ANKRD17	4	73073376	73258798
PARM1	4	74933095	75050115
NAAA	4	75910655	75941013
SDAD1	4	75940950	75990962
ANXA3	4	78551747	78610451
BMP2K	4	78776342	78916365
HNRNPD	4	82352498	82374503
WDFY3	4	84668765	84966690
MAPK10	4	85990007	86594625
PTPN13	4	86594315	86815171
AFF1	4	86935002	87141039
KLHL8	4	87160103	87240314
PKD2	4	88007635	88077777
ABCG2	4	88090150	88231628
HERC6	4	88378739	88443097
NAP1L5	4	88695913	88697829
SMARCAD1	4	94207611	94291292
BMPR1B	4	94757955	95158448
EIF4E	4	98879276	98929133
PPP3CA	4	101023409	101348278
SLC39A8	4	102251080	102431258
NFKB1	4	102501330	102617302
UBE2D3	4	102794383	102868896
CISD2	4	102868974	102892807
TET2	4	105145875	105279816
NPNT	4	105894775	106004027
TBCK	4	106041599	106316683
PAPSS1	4	107590276	107720234
LEF1	4	108047545	108168956
CASP6	4	109688622	109703583
CAMK2D	4	113418054	113761927
SYNPO2	4	118850688	119061247
USP53	4	119212587	119295518
MAD2L1	4	120055623	120066858
ANXA5	4	121667946	121696995
SPATA5	4	122923070	123319433
NAA15	4	139301446	139420033
CLGN	4	140388453	140427661
ELMOD2	4	140524168	140553770
USP38	4	143184917	143225212
GAB1	4	143336876	143474565
SMARCA5	4	143513702	143557486
SMAD1	4	145481194	145559176
ZNF827	4	145757627	145938823
PRMT9	4	147637785	147684163
LRBA	4	150264435	151015727
FBXW7	4	152320544	152536092
ARFIP1	4	152779937	152918463
TLR2	4	153684050	153706260
PDGFC	4	156760454	156971799
PPID	4	158709127	158723396
TMA16	4	163494442	163520539
TMEM192	4	165070608	165208549
PALLD	4	168497052	168928457
NEK1	4	169369704	169612632
CLCN3	4	169612633	169723673
HMGB2	4	173331376	173334432
CEP44	4	174283730	174333380
CDKN2AIP	4	183444635	183449064
RWDD4	4	183639635	183659203
CASP3	4	184627696	184650062
SLC25A4	4	185143266	185150382
TLR3	4	186068911	186088073
FAT1	4	186587794	186726722
DUX4	4	190173774	190185942
SDHA	5	218303	257082
PDCD6	5	271621	314974
CLPTM1L	5	1317752	1345099
LPCAT1	5	1456480	1524282
IRX1	5	3595832	3601403
NSUN2	5	6599239	6633291
SRD5A1	5	6633290	6676539
ATPSCKMT	5	10225507	10249897
CCT5	5	10249929	10266389
DAP	5	10679230	10761234
RETREG1	5	16473038	16617101
GOLPH3	5	32124716	32174319
NPR3	5	32689070	32791724
AMACR	5	33986165	34008104
RAI14	5	34656328	34832612
BRIX1	5	34915677	34925996
PRLR	5	35048756	35230487
SKP2	5	36151989	36196849
LIFR	5	38474668	38608354
PRKAA1	5	40759389	40798374
GHR	5	42423439	42721878
PELO	5	52787916	52804044
ITGA2	5	52989340	53094779
CCNO	5	55231152	55233608
DHX29	5	55256055	55307694
MTREX	5	55307989	55425579
IL6ST	5	55935095	55995022
MAP3K1	5	56815549	56896152
GPBP1	5	57173948	57264679
PART1	5	60487713	60548813
ZSWIM6	5	61332258	61546172
KIF2A	5	62306162	62391025
IPO11	5	62403972	62628582
RNF180	5	64165843	64372869
TRIM23	5	65589690	65625975
PIK3R1	5	68215740	68301821
CDK7	5	69234795	69277430
OCLN	5	69492292	69558104
SMN2	5	70049638	70078522
SMN1	5	70925030	70953942
NAIP	5	70968166	71025339
MAP1B	5	72107234	72209565
HEXB	5	74640023	74722647
GCNT4	5	75025346	75052558
HMGCR	5	75336329	75364001
IQGAP2	5	76403285	76708132
F2R	5	76716126	76735770
F2RL1	5	76818933	76835315
DHFR	5	80626226	80654983
MSH3	5	80654652	80876815
ATG10	5	81972023	82276857
RASA1	5	87267883	87391931
ARRDC3	5	91368631	91383317
ERAP1	5	96760810	96808100
PAM	5	102753981	103029730
FER	5	108747841	109196841
NREP	5	111662621	111997464
YTHDC2	5	113513694	113595285
PGGT1B	5	115204012	115262877
DMXL1	5	119037772	119249138
TNFAIP8	5	119268692	119399688
SRFBP1	5	121961975	122075570
PPIC	5	123023250	123036725
GRAMD2B	5	126360132	126496494
ALDH7A1	5	126531200	126595362
LMNB1	5	126776623	126837020
SLC12A2	5	128083766	128189677
RAPGEF6	5	131423921	131635231
SLC22A5	5	132369710	132395613
IRF1	5	132440440	132508719
RAD50	5	132556019	132646349
SHROOM1	5	132822141	132830659
ZCCHC10	5	132996985	133026604
HSPA4	5	133052013	133106449
VDAC1	5	133971871	134004975
SKP1	5	134148935	134176964
PPP2CA	5	134193978	134226073
PCBD2	5	134905120	135007959
SPOCK1	5	136975298	137598379
FAM53C	5	138331935	138349729
HSPA9	5	138553756	138575675
CTNNA1	5	138610967	138935034
PAIP2	5	139341587	139369720
TMEM173	5	139475533	139482935
UBE2D2	5	139526431	139628434
ANKHD1	5	140401814	140539856
SRA1	5	140537340	140557677
EIF4EBP3	5	140547662	140549576
WDR55	5	140664868	140674124
HDAC3	5	141620876	141636849
NR3C1	5	143277931	143435512
YIPF5	5	144158162	144170714
RBM27	5	146203605	146289223
CSNK1A1	5	149492982	149551471
SLC26A2	5	149960758	149993455
TCOF1	5	150357629	150400308
TNIP1	5	151029942	151093577
CYFIP2	5	157266079	157395595
NUDCD2	5	163446526	163460404
WWC1	5	168291645	168472303
FBXW11	5	171861549	172006873
SFXN1	5	175477062	175529742
KIAA1191	5	176346062	176361807
FAF2	5	176447628	176510074
ZNF346	5	177022696	177081189
DBN1	5	177456608	177474401
COL23A1	5	178237476	178590393
CLK4	5	178602664	178630615
HNRNPH1	5	179614178	179634784
CANX	5	179678628	179731641
SQSTM1	5	179806398	179838078
MAPK9	5	180233143	180292099
FOXC1	6	1609915	1613897
GMDS	6	1623806	2245605
NQO2	6	2987987	3019755
RIPK1	6	3063824	3115187
RREB1	6	7107597	7251980
BMP6	6	7726099	7881728
TFAP2A	6	10393186	10419659
PAK1IP1	6	10694972	10709782
TMEM14C	6	10722915	10731129
NEDD9	6	11183298	11382348
ADTRP	6	11712054	11807046
RANBP9	6	13621498	13711835
CD83	6	14117256	14140682
DTNBP1	6	15522807	15663058
MYLIP	6	16129086	16151367
ATXN1	6	16299112	16761491
NUP153	6	17615035	17706925
TPMT	6	18128311	18155077
DEK	6	18223860	18264548
ID4	6	19837370	19842197
E2F3	6	20401879	20493714
CDKAL1	6	20534457	21232404
HFE	6	26087226	26098343
PRSS16	6	27247701	27256624
ZNF165	6	28080568	28089563
ZSCAN16	6	28107689	28130082
ZSCAN26	6	28267058	28278224
ZBED9	6	28570535	28616212
TRIM27	6	28903002	28923988
GABBR1	6	29555629	29633976
MDC1	6	30699807	30717447
TUBB	6	30717435	30725538
DDR1	6	30876421	30900156
POU5F1	6	31164337	31180731
DDX39B	6	31530219	31542448
PRRC2A	6	31620715	31637771
BAG6	6	31639028	31652705
CSNK2B	6	31665227	31670343
EHMT2	6	31879759	31897698
CFB	6	31945650	31952086
C4A	6	31982057	32002681
C4B	6	32014795	32035418
NOTCH4	6	32194843	32224067
TAP2	6	32821833	32838739
TAP1	6	32845209	32853816
DAXX	6	33318558	33323016
CUTA	6	33416442	33418317
BAK1	6	33572547	33580293
ITPR3	6	33620365	33696574
HMGA1	6	34236873	34246231
ANKS1A	6	34889255	35091406
ZNF76	6	35258909	35295985
PPARD	6	35342558	35428191
SRPK1	6	35832966	35921342
MAPK14	6	36027752	36122511
KCTD20	6	36442767	36491143
CDKN1A	6	36676460	36687397
PIM1	6	37170152	37175428
TBC1D22B	6	37257772	37332970
BTBD9	6	38168451	38640148
FOXP4	6	41546381	41602384
TFEB	6	41683978	41736259
CCND3	6	41934934	42050357
BICRAL	6	42782052	42868558
PTK7	6	43076307	43161719
SRF	6	43171269	43181506
XPO5	6	43522334	43576038
POLH	6	43576185	43620523
VEGFA	6	43770184	43786487
SLC29A1	6	44219553	44234142
RUNX2	6	45328157	45664349
PLA2G7	6	46704201	46735693
TNFRSF21	6	47231532	47309905
CD2AP	6	47477789	47627263
